Date,Mode,Count
04/14/2025,AAR,35872
04/14/2025,SIR,2895
04/14/2025,MNR,224282
04/14/2025,Subway,3566631
04/14/2025,LIRR,246154
04/14/2025,Bus,1203975
04/14/2025,BT,871266
04/13/2025,BT,825780
04/13/2025,Subway,2167401
04/13/2025,SIR,1843
04/13/2025,MNR,102506
04/13/2025,LIRR,108197
04/13/2025,Bus,725299
04/13/2025,AAR,25731
04/12/2025,SIR,2092
04/12/2025,Subway,2521831
04/12/2025,MNR,111344
04/12/2025,LIRR,122395
04/12/2025,Bus,835869
04/12/2025,BT,884634
04/12/2025,AAR,25806
04/11/2025,AAR,40728
04/11/2025,Subway,3861895
04/11/2025,SIR,6310
04/11/2025,MNR,210055
04/11/2025,LIRR,247547
04/11/2025,Bus,1388005
04/11/2025,BT,968634
04/10/2025,BT,961311
04/10/2025,Subway,4297250
04/10/2025,SIR,7666
04/10/2025,MNR,220604
04/10/2025,LIRR,263157
04/10/2025,Bus,1519742
04/10/2025,AAR,43061
04/09/2025,Bus,1544991
04/09/2025,Subway,4341602
04/09/2025,AAR,44074
04/09/2025,SIR,8147
04/09/2025,MNR,226464
04/09/2025,LIRR,262570
04/09/2025,BT,948085
04/08/2025,MNR,228166
04/08/2025,Subway,4322047
04/08/2025,SIR,8014
04/08/2025,LIRR,263712
04/08/2025,Bus,1533449
04/08/2025,BT,918847
04/08/2025,AAR,42949
04/07/2025,AAR,39237
04/07/2025,Subway,3846683
04/07/2025,SIR,7069
04/07/2025,MNR,207119
04/07/2025,LIRR,244565
04/07/2025,Bus,1423026
04/07/2025,BT,892820
04/06/2025,BT,846042
04/06/2025,Subway,2059104
04/06/2025,SIR,2049
04/06/2025,MNR,87900
04/06/2025,LIRR,115809
04/06/2025,Bus,741904
04/06/2025,AAR,25576
04/05/2025,SIR,2723
04/05/2025,Subway,2658879
04/05/2025,MNR,110701
04/05/2025,LIRR,128321
04/05/2025,Bus,915093
04/05/2025,BT,884436
04/05/2025,AAR,25947
04/04/2025,AAR,41478
04/04/2025,Subway,3989979
04/04/2025,SIR,6568
04/04/2025,MNR,208594
04/04/2025,LIRR,260319
04/04/2025,Bus,1464833
04/04/2025,BT,979836
04/03/2025,BT,967884
04/03/2025,Subway,4286911
04/03/2025,SIR,7699
04/03/2025,MNR,226170
04/03/2025,LIRR,257460
04/03/2025,Bus,1515251
04/03/2025,AAR,43300
04/02/2025,LIRR,258088
04/02/2025,Subway,4320971
04/02/2025,BT,935448
04/02/2025,SIR,8005
04/02/2025,AAR,43403
04/02/2025,MNR,227068
04/02/2025,Bus,1542977
04/01/2025,AAR,42115
