Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-05,Sunday,2025-01-05,Overnight,Passenger Cars & Vans,76498,2.25,137696.4
2025-01-05,Sunday,2025-01-05,Overnight,Single-Unit Trucks,2014,3.6,5800.32
2025-01-05,Sunday,2025-01-05,Overnight,Multi-Unit Trucks,377,5.4,1628.64
2025-01-05,Sunday,2025-01-05,Overnight,Buses,1067,3.69,3149.78
2025-01-05,Sunday,2025-01-05,Overnight,Motorcycles,340,1.05,285.6
2025-01-05,Sunday,2025-01-05,Overnight,TLC Taxi/FHV,60982,1.13,55127.73
2025-01-05,Sunday,2025-01-05,Peak,Passenger Cars & Vans,177422,9.0,1277438.4
2025-01-05,Sunday,2025-01-05,Peak,Single-Unit Trucks,3139,14.4,36161.28
2025-01-05,Sunday,2025-01-05,Peak,Multi-Unit Trucks,325,21.6,5616.0
2025-01-05,Sunday,2025-01-05,Peak,Buses,2413,14.76,28492.7
2025-01-05,Sunday,2025-01-05,Peak,Motorcycles,1147,4.5,4129.2
2025-01-05,Sunday,2025-01-05,Peak,TLC Taxi/FHV,92240,1.13,83384.96
2025-01-06,Monday,2025-01-05,Overnight,Passenger Cars & Vans,38418,2.25,69152.4
2025-01-06,Monday,2025-01-05,Overnight,Single-Unit Trucks,2599,3.6,7485.12
2025-01-06,Monday,2025-01-05,Overnight,Multi-Unit Trucks,624,5.4,2695.68
2025-01-06,Monday,2025-01-05,Overnight,Buses,716,3.69,2113.63
2025-01-06,Monday,2025-01-05,Overnight,Motorcycles,176,1.05,147.84
2025-01-06,Monday,2025-01-05,Overnight,TLC Taxi/FHV,30208,1.13,27308.03
2025-01-06,Monday,2025-01-05,Peak,Passenger Cars & Vans,218685,9.0,1574532.0
2025-01-06,Monday,2025-01-05,Peak,Single-Unit Trucks,20825,14.4,239903.99
2025-01-06,Monday,2025-01-05,Peak,Multi-Unit Trucks,1856,21.6,32071.68
2025-01-06,Monday,2025-01-05,Peak,Buses,9106,14.76,107523.65
2025-01-06,Monday,2025-01-05,Peak,Motorcycles,1161,4.5,4179.6
2025-01-06,Monday,2025-01-05,Peak,TLC Taxi/FHV,113409,1.13,102521.74
2025-01-07,Tuesday,2025-01-05,Overnight,Passenger Cars & Vans,40023,2.25,72041.4
2025-01-07,Tuesday,2025-01-05,Overnight,Single-Unit Trucks,2675,3.6,7704.0
2025-01-07,Tuesday,2025-01-05,Overnight,Multi-Unit Trucks,591,5.4,2553.12
2025-01-07,Tuesday,2025-01-05,Overnight,Buses,765,3.69,2258.28
2025-01-07,Tuesday,2025-01-05,Overnight,Motorcycles,185,1.05,155.4
2025-01-07,Tuesday,2025-01-05,Overnight,TLC Taxi/FHV,34756,1.13,31419.42
2025-01-07,Tuesday,2025-01-05,Peak,Passenger Cars & Vans,234198,9.0,1686225.6
2025-01-07,Tuesday,2025-01-05,Peak,Single-Unit Trucks,21796,14.4,251089.91
2025-01-07,Tuesday,2025-01-05,Peak,Multi-Unit Trucks,1907,21.6,32952.96
2025-01-07,Tuesday,2025-01-05,Peak,Buses,9385,14.76,110818.08
2025-01-07,Tuesday,2025-01-05,Peak,Motorcycles,1260,4.5,4536.0
2025-01-07,Tuesday,2025-01-05,Peak,TLC Taxi/FHV,122391,1.13,110641.46
2025-01-08,Wednesday,2025-01-05,Overnight,Passenger Cars & Vans,40357,2.25,72642.6
2025-01-08,Wednesday,2025-01-05,Overnight,Single-Unit Trucks,2621,3.6,7548.48
2025-01-08,Wednesday,2025-01-05,Overnight,Multi-Unit Trucks,579,5.4,2501.28
2025-01-08,Wednesday,2025-01-05,Overnight,Buses,758,3.69,2237.62
2025-01-08,Wednesday,2025-01-05,Overnight,Motorcycles,178,1.05,149.52
2025-01-08,Wednesday,2025-01-05,Overnight,TLC Taxi/FHV,38030,1.13,34379.12
2025-01-08,Wednesday,2025-01-05,Peak,Passenger Cars & Vans,236316,9.0,1701475.2
2025-01-08,Wednesday,2025-01-05,Peak,Single-Unit Trucks,20507,14.4,236240.63
2025-01-08,Wednesday,2025-01-05,Peak,Multi-Unit Trucks,1901,21.6,32849.28
2025-01-08,Wednesday,2025-01-05,Peak,Buses,9804,14.76,115765.63
2025-01-08,Wednesday,2025-01-05,Peak,Motorcycles,1252,4.5,4507.2
2025-01-08,Wednesday,2025-01-05,Peak,TLC Taxi/FHV,127083,1.13,114883.03
2025-01-09,Thursday,2025-01-05,Overnight,Passenger Cars & Vans,40351,2.25,72631.8
2025-01-09,Thursday,2025-01-05,Overnight,Single-Unit Trucks,2641,3.6,7606.08
2025-01-09,Thursday,2025-01-05,Overnight,Multi-Unit Trucks,599,5.4,2587.68
2025-01-09,Thursday,2025-01-05,Overnight,Buses,772,3.69,2278.94
2025-01-09,Thursday,2025-01-05,Overnight,Motorcycles,214,1.05,179.76
2025-01-09,Thursday,2025-01-05,Overnight,TLC Taxi/FHV,42407,1.13,38335.93
2025-01-09,Thursday,2025-01-05,Peak,Passenger Cars & Vans,234798,9.0,1690545.6
2025-01-09,Thursday,2025-01-05,Peak,Single-Unit Trucks,21051,14.4,242507.51
2025-01-09,Thursday,2025-01-05,Peak,Multi-Unit Trucks,1984,21.6,34283.52
2025-01-09,Thursday,2025-01-05,Peak,Buses,9719,14.76,114761.95
2025-01-09,Thursday,2025-01-05,Peak,Motorcycles,1247,4.5,4489.2
2025-01-09,Thursday,2025-01-05,Peak,TLC Taxi/FHV,133462,1.13,120649.65
2025-01-10,Friday,2025-01-05,Overnight,Passenger Cars & Vans,46702,2.25,84063.6
2025-01-10,Friday,2025-01-05,Overnight,Single-Unit Trucks,2531,3.6,7289.28
