link_name,date,period,mph
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 00:00:00,Pre-CP,4.353894942857144
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 01:00:00,Pre-CP,7.435935517083333
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 02:00:00,Pre-CP,6.6818164
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 03:00:00,Pre-CP,7.403466925263158
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 04:00:00,Pre-CP,7.149998093333334
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 05:00:00,Pre-CP,8.659806303157895
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 06:00:00,Pre-CP,9.455817877560975
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 07:00:00,Pre-CP,5.926571846153847
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 08:00:00,Pre-CP,8.741474941666667
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 09:00:00,Pre-CP,6.798928668235294
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 10:00:00,Pre-CP,5.2969076784
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 11:00:00,Pre-CP,4.826589622
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 12:00:00,Pre-CP,4.476528526538462
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 13:00:00,Pre-CP,3.096122169019608
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 14:00:00,Pre-CP,4.9617884495833335
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 15:00:00,Pre-CP,4.999771394
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 16:00:00,Pre-CP,4.0148171112
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 17:00:00,Pre-CP,3.0054804819607845
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 18:00:00,Pre-CP,4.500709027083333
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 19:00:00,Pre-CP,5.092131509230769
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 20:00:00,Pre-CP,6.3595892132000005
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 21:00:00,Pre-CP,5.00519971423077
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 22:00:00,Pre-CP,5.778741774509805
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-01 23:00:00,Pre-CP,4.906950563137255
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-02 00:00:00,Pre-CP,5.580453057333334
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-02 01:00:00,Pre-CP,6.764940168936171
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-02 02:00:00,Pre-CP,5.470791577872341
23rd Street - Westbound - 6th Ave to 7th Ave,2024-08-02 03:00:00,Pre-CP,6.187959037837838
